GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory,com.yas.inventory.service,StockService,58,198,5,13,12,50,7,10,3,5
inventory,com.yas.inventory.service,ProductService.new ParameterizedTypeReference() {...},0,8,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.service,ProductService,22,120,1,1,2,43,6,3,5,3
inventory,com.yas.inventory.service,LocationService,26,140,0,0,2,45,6,4,6,4
inventory,com.yas.inventory.service,AbstractCircuitBreakFallbackHandler,16,7,0,0,6,2,3,2,3,2
inventory,com.yas.inventory.service,WarehouseService,78,228,3,3,22,63,4,10,2,9
inventory,com.yas.inventory.service,StockHistoryService,0,91,0,4,0,29,0,7,0,5
inventory,com.yas.inventory.model.enumeration,FilterExistInWhSelection,0,21,0,0,0,2,0,1,0,1
inventory,com.yas.inventory.viewmodel.address,AddressPostVm,0,30,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.viewmodel.address,AddressDetailVm,0,42,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.viewmodel.address,AddressVm,0,30,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.controller,StockController,0,22,0,0,0,5,0,3,0,3
inventory,com.yas.inventory.controller,WarehouseController,7,57,0,0,2,13,1,6,1,6
inventory,com.yas.inventory.controller,StockHistoryController,0,13,0,0,0,5,0,2,0,2
inventory,com.yas.inventory.viewmodel.stock,StockQuantityUpdateVm,0,6,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.viewmodel.stock,StockPostVm,0,9,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.viewmodel.stock,StockQuantityVm,0,12,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.viewmodel.stock,StockVm,19,24,0,0,8,1,1,1,1,1
inventory,com.yas.inventory.viewmodel.stockhistory,StockHistoryListVm,0,6,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.viewmodel.stockhistory,StockHistoryVm,0,37,0,0,0,8,0,2,0,2
inventory,com.yas.inventory.utils,AuthenticationUtils,19,6,2,0,5,1,2,1,1,1
inventory,com.yas.inventory.viewmodel.product,ProductQuantityPostVm,0,17,0,0,0,2,0,2,0,2
inventory,com.yas.inventory.viewmodel.product,ProductInfoVm,0,15,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.viewmodel.warehouse,WarehouseDetailVm,0,36,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.viewmodel.warehouse,WarehouseListGetVm,0,21,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.viewmodel.warehouse,WarehousePostVm,0,36,0,0,0,1,0,1,0,1
inventory,com.yas.inventory.viewmodel.warehouse,WarehouseGetVm,0,17,0,0,0,2,0,2,0,2
inventory,com.yas.inventory.viewmodel.error,ErrorVm,24,0,0,0,3,0,2,0,2,0
