GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
location,com.yas.location.viewmodel.country,CountryVm,0,52,0,0,0,4,0,2,0,2
location,com.yas.location.viewmodel.country,CountryListGetVm,0,21,0,0,0,1,0,1,0,1
location,com.yas.location.viewmodel.country,CountryPostVm,0,30,0,0,0,1,0,1,0,1
location,com.yas.location.controller,CountryController,25,36,0,0,5,11,4,3,4,3
location,com.yas.location.controller,StateOrProvinceStoreFrontController,6,0,0,0,1,0,1,0,1,0
location,com.yas.location.controller,DistrictStorefrontController,6,0,0,0,1,0,1,0,1,0
location,com.yas.location.controller,CountryStorefrontController,5,0,0,0,1,0,1,0,1,0
location,com.yas.location.controller,AddressController,19,14,0,0,4,3,3,2,3,2
location,com.yas.location.controller,StateOrProvinceController,34,36,0,0,8,9,5,3,5,3
location,com.yas.location.utils,Constants,3,0,0,0,1,0,1,0,1,0
location,com.yas.location.utils,Constants.ApiConstant,8,0,0,0,1,0,1,0,1,0
location,com.yas.location.utils,Constants.ErrorCode,8,0,0,0,1,0,1,0,1,0
location,com.yas.location.utils,MessagesUtils,23,0,0,0,9,0,3,0,3,0
location,com.yas.location.utils,Constants.PageableConstant,8,0,0,0,1,0,1,0,1,0
location,com.yas.location.viewmodel.address,AddressDetailVm,0,90,0,0,0,16,0,2,0,2
location,com.yas.location.viewmodel.address,AddressPostVm,0,51,0,0,0,9,0,2,0,2
location,com.yas.location.viewmodel.address,AddressGetVm,0,69,0,0,0,13,0,2,0,2
location,com.yas.location.mapper,CountryMapperImpl,33,143,11,11,10,44,11,4,0,4
location,com.yas.location.mapper,StateOrProvinceMapperImpl,4,50,2,2,2,17,2,3,0,3
location,com.yas.location.viewmodel.error,ErrorVm,24,0,0,0,3,0,2,0,2,0
location,com.yas.location.viewmodel.stateorprovince,StateOrProvinceAndCountryGetNameVm,0,23,0,0,0,3,0,2,0,2
location,com.yas.location.viewmodel.stateorprovince,StateOrProvinceListGetVm,0,21,0,0,0,1,0,1,0,1
location,com.yas.location.viewmodel.stateorprovince,StateOrProvincePostVm,0,15,0,0,0,1,0,1,0,1
location,com.yas.location.viewmodel.stateorprovince,StateOrProvinceVm,0,33,0,0,0,4,0,2,0,2
location,com.yas.location.viewmodel.district,DistrictGetVm,0,9,0,0,0,1,0,1,0,1
location,com.yas.location.service,DistrictService,0,5,0,0,0,1,0,1,0,1
location,com.yas.location.service,CountryService,0,234,0,10,0,46,0,14,0,9
location,com.yas.location.service,StateOrProvinceService,0,265,0,8,0,66,0,15,0,11
location,com.yas.location.service,AddressService,0,202,0,0,0,29,0,10,0,10
