GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
product,com.yas.product.service,ProductTemplateService,23,313,3,15,2,76,4,15,1,9
product,com.yas.product.service,ProductAttributeService,40,159,0,10,5,41,3,11,3,6
product,com.yas.product.service,ProductAttributeGroupService,0,89,0,6,0,21,0,7,0,4
product,com.yas.product.service,ProductOptionService,0,147,0,8,0,30,0,10,0,6
product,com.yas.product.service,AbstractCircuitBreakFallbackHandler,19,4,0,0,7,1,4,1,4,1
product,com.yas.product.service,BrandService,46,136,2,6,7,30,4,10,3,7
product,com.yas.product.service,ProductDetailService,0,241,0,2,0,76,0,11,0,10
product,com.yas.product.service,ProductService,1156,1906,97,65,262,482,100,95,38,76
product,com.yas.product.service,MediaService,138,0,2,0,33,0,7,0,6,0
product,com.yas.product.service,CategoryService,29,393,6,18,5,94,6,21,1,14
product,com.yas.product.viewmodel,NoFileMediaVm,0,18,0,0,0,1,0,1,0,1
product,com.yas.product.viewmodel,ImageVm,0,9,0,0,0,1,0,1,0,1
product,com.yas.product.model.enumeration,DimensionUnit,0,25,0,0,0,6,0,2,0,2
product,com.yas.product.model.enumeration,FilterExistInWhSelection,0,21,0,0,0,2,0,1,0,1
product,com.yas.product.model,ProductOptionValue,28,0,8,0,6,0,6,0,2,0
product,com.yas.product.model,Product,28,0,8,0,6,0,6,0,2,0
product,com.yas.product.model,ProductOption,28,3,8,0,6,1,6,1,2,1
product,com.yas.product.model,ProductOptionCombination,28,0,8,0,6,0,6,0,2,0
product,com.yas.product.model,Category,28,0,8,0,6,0,6,0,2,0
product,com.yas.product.model,Brand,28,3,8,0,6,1,6,1,2,1
product,com.yas.product.model,ProductRelated,28,0,8,0,6,0,6,0,2,0
product,com.yas.product.viewmodel.error,ErrorVm,24,0,0,0,3,0,2,0,2,0
