GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rating,com.yas.rating.utils,Constants.Message,8,0,0,0,1,0,1,0,1,0
rating,com.yas.rating.utils,MessagesUtils,23,0,0,0,8,0,3,0,3,0
rating,com.yas.rating.utils,AuthenticationUtils,0,19,0,2,0,5,0,2,0,1
rating,com.yas.rating.utils,Constants,3,0,0,0,1,0,1,0,1,0
rating,com.yas.rating.utils,Constants.ErrorCode,8,0,0,0,1,0,1,0,1,0
rating,com.yas.rating.service,AbstractCircuitBreakFallbackHandler,16,7,0,0,6,2,3,2,3,2
rating,com.yas.rating.service,OrderService,4,44,0,0,0,14,1,2,1,2
rating,com.yas.rating.service,CustomerService,4,32,0,0,0,13,1,2,1,2
rating,com.yas.rating.service,RatingService,0,303,0,16,0,60,0,17,0,9
rating,com.yas.rating.viewmodel,CustomerVm,0,15,0,0,0,1,0,1,0,1
rating,com.yas.rating.viewmodel,RatingPostVm,0,15,0,0,0,1,0,1,0,1
rating,com.yas.rating.viewmodel,RatingListVm,0,12,0,0,0,1,0,1,0,1
rating,com.yas.rating.viewmodel,ResponeStatusVm,0,12,0,0,0,1,0,1,0,1
rating,com.yas.rating.viewmodel,ErrorVm,24,0,0,0,3,0,2,0,2,0
rating,com.yas.rating.viewmodel,RatingVm,0,60,0,0,0,12,0,2,0,2
rating,com.yas.rating.viewmodel,OrderExistsByProductAndUserGetVm,0,6,0,0,0,1,0,1,0,1
rating,com.yas.rating.model,Rating,28,0,8,0,6,0,6,0,2,0
rating,com.yas.rating.controller,RatingController,0,50,0,0,0,9,0,7,0,7
