GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
recommendation,com.yas.recommendation.vector.product.service,ProductVectorSyncService,6,26,2,2,1,8,2,3,0,3
recommendation,com.yas.recommendation.service,ProductService,0,26,0,0,0,10,0,1,0,1
recommendation,com.yas.recommendation.service,ProductService.new ParameterizedTypeReference() {...},0,8,0,0,0,1,0,1,0,1
recommendation,com.yas.recommendation.vector.product.document,ProductDocument,0,3,0,0,0,1,0,1,0,1
recommendation,com.yas.recommendation.configuration,VectorStoreConfiguration,0,19,0,0,0,5,0,1,0,1
recommendation,com.yas.recommendation.configuration,SecurityConfig,0,55,0,0,0,7,0,4,0,4
recommendation,com.yas.recommendation.configuration,RecommendationConfig,0,3,0,0,0,1,0,1,0,1
recommendation,com.yas.recommendation.configuration,VectorStoreProperties,0,3,0,0,0,1,0,1,0,1
recommendation,com.yas.recommendation.configuration,EmbeddingSearchConfiguration,0,9,0,0,0,1,0,1,0,1
recommendation,com.yas.recommendation.configuration,AppConfig,0,7,0,0,0,2,0,2,0,2
recommendation,com.yas.recommendation.configuration,RestClientConfig,0,14,0,0,0,4,0,2,0,2
recommendation,com.yas.recommendation.vector.common.formatter,DefaultDocumentFormatter,16,0,0,0,3,0,2,0,2,0
recommendation,com.yas.recommendation.vector.common.formatter,DocumentFormatter,2,16,2,2,1,3,2,2,0,2
recommendation,com.yas.recommendation.controller,EmbeddingQueryController,0,11,0,0,0,4,0,2,0,2
recommendation,com.yas.recommendation.vector.product.formatter,ProductDocumentFormatter,22,86,2,2,2,21,5,6,3,6
recommendation,com.yas.recommendation.vector.product.query,RelatedProductQuery,0,5,0,0,0,2,0,1,0,1
recommendation,com.yas.recommendation.vector.common.document,BaseDocument,2,43,1,1,0,12,1,3,0,3
recommendation,com.yas.recommendation.vector.common.document,DefaultIdGenerator,0,29,0,0,0,6,0,2,0,2
recommendation,com.yas.recommendation.vector.common.query,DocumentRowMapper,3,31,0,0,1,7,0,2,0,2
recommendation,com.yas.recommendation.vector.common.query,JdbcVectorService,0,105,0,0,0,23,0,8,0,8
recommendation,com.yas.recommendation.vector.common.query,VectorQuery,4,50,1,1,0,15,1,7,0,7
recommendation,com.yas.recommendation.kafka.consumer,ProductSyncDataConsumer,0,18,0,0,0,5,0,2,0,2
recommendation,com.yas.recommendation.kafka.consumer,ProductSyncService,7,59,3,8,1,15,3,6,0,3
recommendation,com.yas.recommendation.vector.product.store,ProductVectorRepository,0,14,0,0,0,4,0,2,0,2
recommendation,com.yas.recommendation.viewmodel,RelatedProductVm,0,3,0,0,0,2,0,1,0,1
recommendation,com.yas.recommendation.viewmodel,ProductDetailVm,0,78,0,0,0,1,0,1,0,1
recommendation,com.yas.recommendation.viewmodel,ProductVariationVm,24,0,0,0,1,0,1,0,1,0
recommendation,com.yas.recommendation.viewmodel,CategoryVm,27,0,0,0,1,0,1,0,1,0
recommendation,com.yas.recommendation.viewmodel,ImageVm,9,0,0,0,1,0,1,0,1,0
recommendation,com.yas.recommendation.viewmodel,ProductAttributeValueVm,12,0,0,0,1,0,1,0,1,0
recommendation,com.yas.recommendation.vector.common.store,SimpleVectorRepository,6,205,0,0,1,47,0,10,0,10
