GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
webhook,com.yas.webhook.model.enums,Operation,0,31,0,0,0,5,0,1,0,1
webhook,com.yas.webhook.model.enums,EventName,0,21,0,0,0,4,0,1,0,1
webhook,com.yas.webhook.model.enums,NotificationStatus,0,15,0,0,0,3,0,1,0,1
webhook,com.yas.webhook.model.mapper,WebhookMapper,0,42,0,2,0,11,0,4,0,3
webhook,com.yas.webhook.model.mapper,WebhookMapperImpl,8,97,4,4,4,28,4,5,0,5
webhook,com.yas.webhook.model.mapper,EventMapperImpl,0,26,1,3,0,8,1,3,0,2
webhook,com.yas.webhook.utils,HmacUtils,0,21,0,0,0,4,0,1,0,1
webhook,com.yas.webhook.utils,MessagesUtils,8,15,0,0,3,6,1,2,1,2
webhook,com.yas.webhook.service,ProductEventService,11,52,0,2,0,14,1,4,1,3
webhook,com.yas.webhook.service,EventService,0,23,0,0,0,2,0,1,0,1
webhook,com.yas.webhook.service,OrderEventService,12,92,0,8,0,22,1,8,1,4
webhook,com.yas.webhook.service,WebhookService,56,199,3,3,5,40,6,9,3,9
webhook,com.yas.webhook.service,AbstractWebhookEventNotificationService,0,48,0,0,0,16,0,3,0,3
webhook,com.yas.webhook.integration.api,WebhookApi,3,40,0,2,0,10,0,2,0,1
webhook,com.yas.webhook.integration.inbound,OrderEventInbound,0,5,0,0,0,2,0,1,0,1
webhook,com.yas.webhook.integration.inbound,ProductEventInbound,0,5,0,0,0,2,0,1,0,1
webhook,com.yas.webhook.model.viewmodel.error,ErrorVm,24,0,0,0,3,0,2,0,2,0
webhook,com.yas.webhook.controller,WebhookController,0,59,0,0,0,16,0,7,0,7
webhook,com.yas.webhook.controller,EventController,0,11,0,0,0,4,0,2,0,2
